python analyze_traffic.py --log-file logs/traffic_log_20250609_143649.csvtimestamp,flow_id,from_host,to_host,from_ip,to_ip,traffic_type,size_bytes,bandwidth_bps,latency_ms,duration_sec,packet_loss_pct,status,details,flow_start_time,flow_end_time
2025-06-09 13:34:04.126,flow_1,h5,h1,10.0.3.1,10.0.1.1,mtr,640,0,9.96,11.935124,0.0,SUCCESS,"NetDiag: Good | Tests: basic(9.9ms,0%loss) | small_pkt(7.9ms,0%loss) | large_pkt(12.2ms,0%loss) | rapid(10.0ms,0%loss) | Jitter: 43.1% | Successful: 4/4",2025-06-09 13:34:04.126,2025-06-09 13:34:16.061
2025-06-09 13:34:04.628,flow_2,h8,h1,10.0.4.2,10.0.1.1,iperf,1174405,9440000,7.273,10,0,SUCCESS,"Transfer: 1.12 MBytes, Bandwidth: 9.44 Mbits/sec | Latency: 7.27ms",2025-06-09 13:34:04.628,2025-06-09 13:34:18.212
2025-06-09 13:34:05.132,flow_3,h7,h5,10.0.4.1,10.0.3.1,mtr,640,0,10.01,13.927327,0.0,SUCCESS,"NetDiag: Good | Tests: basic(11.7ms,0%loss) | small_pkt(7.9ms,0%loss) | large_pkt(7.9ms,0%loss) | rapid(12.5ms,0%loss) | Jitter: 46.8% | Successful: 4/4",2025-06-09 13:34:05.132,2025-06-09 13:34:19.059
2025-06-09 13:34:16.651,flow_6,h3,h1,10.0.2.1,10.0.1.1,mtr,640,0,7.72,11.870781,0.0,SUCCESS,"NetDiag: Excellent | Tests: basic(7.8ms,0%loss) | small_pkt(7.6ms,0%loss) | large_pkt(7.7ms,0%loss) | rapid(7.8ms,0%loss) | Jitter: 3.3% | Successful: 4/4",2025-06-09 13:34:16.651,2025-06-09 13:34:28.522
2025-06-09 13:34:19.155,flow_7,h5,h6,10.0.3.1,10.0.3.2,mtr,640,0,7.7,11.902573,0.0,SUCCESS,"NetDiag: Fair | Tests: basic(7.7ms,0%loss) | small_pkt(5.1ms,0%loss) | large_pkt(7.7ms,0%loss) | rapid(10.3ms,0%loss) | Jitter: 67.6% | Successful: 4/4",2025-06-09 13:34:19.155,2025-06-09 13:34:31.058
2025-06-09 13:34:03.619,flow_0,h2,h5,10.0.1.2,10.0.3.1,iperf,1572864,12600000,12.312,30,0,SUCCESS,"Transfer: 1.50 MBytes, Bandwidth: 12.6 Mbits/sec | Latency: 12.31ms",2025-06-09 13:34:03.619,2025-06-09 13:34:47.185
2025-06-09 13:34:06.138,flow_5,h7,h4,10.0.4.1,10.0.2.2,iperf,1572864,12600000,15.886,30,0,SUCCESS,"Transfer: 1.50 MBytes, Bandwidth: 12.6 Mbits/sec | Latency: 15.89ms",2025-06-09 13:34:06.138,2025-06-09 13:34:49.233
2025-06-09 13:34:19.656,flow_8,h4,h5,10.0.2.2,10.0.3.1,iperf,693248,5550000,21.475,20,0,SUCCESS,"Transfer: 677 KBytes, Bandwidth: 5.55 Mbits/sec | Latency: 21.48ms",2025-06-09 13:34:19.656,2025-06-09 13:34:52.682
2025-06-09 13:34:49.216,flow_11,h7,h3,10.0.4.1,10.0.2.1,mtr,640,0,17.71,13.969685,0.0,SUCCESS,"NetDiag: Fair | Tests: basic(17.3ms,0%loss) | small_pkt(13.0ms,0%loss) | large_pkt(17.8ms,0%loss) | rapid(22.8ms,0%loss) | Jitter: 55.9% | Successful: 4/4",2025-06-09 13:34:49.216,2025-06-09 13:35:03.185
2025-06-09 13:34:54.226,flow_13,h1,h4,10.0.1.1,10.0.2.2,mtr,640,0,8.31,11.896143,0.0,SUCCESS,"NetDiag: Good | Tests: basic(10.5ms,0%loss) | small_pkt(7.7ms,0%loss) | large_pkt(7.3ms,0%loss) | rapid(7.7ms,0%loss) | Jitter: 39.1% | Successful: 4/4",2025-06-09 13:34:54.226,2025-06-09 13:35:06.122
